"Order";"Level";"Sorting code";"Parent";"Code";"Description";"Remark"
"1644404";"1";"1120";;"ES001MC";"Madrid";
"1644405";"1";"1130";;"ES002M";"Barcelona";
"1644406";"1";"1140";;"ES003M";"Valencia";
"1644407";"1";"1150";;"ES004M";"Sevilla";
"1644408";"1";"1160";;"ES005M";"Zaragoza";
"1644409";"1";"1170";;"ES006M";"Málaga - Marbella";
"1644410";"1";"1180";;"ES007M";"Murcia - Cartagena";
"1644411";"1";"1190";;"ES008M";"Las Palmas";
"1644412";"1";"1200";;"ES009M";"Valladolid";
"1644413";"1";"1210";;"ES010M";"Palma de Mallorca";
"1644414";"1";"1220";;"ES012M";"Vitoria/Gasteiz";
"1644415";"1";"1230";;"ES013M";"Oviedo - Gijón";
"1644416";"1";"1240";;"ES014M";"Pamplona/Iruña";
"1644417";"1";"1250";;"ES015M";"Santander";
"1644418";"1";"1260";;"ES019M";"Bilbao";
"1644419";"1";"1270";;"ES020M";"Córdoba";
"1644420";"1";"1280";;"ES021M";"Alicante/Alacant - Elche/Elx";
"1644421";"1";"1290";;"ES022M";"Vigo";
"1644422";"1";"1300";;"ES025M";"Santa Cruz de Tenerife";
"1644423";"1";"1310";;"ES026M";"A Coruña";
"1644424";"1";"1320";;"ES501M";"Granada";
"1644425";"1";"1330";;"ES502M";"Coruña (A)";
"1644426";"1";"1340";;"ES510M";"Donostia-San Sebastián";
"1644427";"1";"1350";;"ES522M";"Cádiz - Algeciras";
"1644428";"1";"1360";;"ES_NM";"Non-metropolitan regions in Spain";
"1644429";"1";"1370";;"FR001MC";"Paris";
"1644430";"1";"1380";;"FR003M";"Lyon";
"1644431";"1";"1390";;"FR004M";"Toulouse";
"1644432";"1";"1400";;"FR006M";"Strasbourg";
"1644433";"1";"1410";;"FR007M";"Bordeaux";
"1644434";"1";"1420";;"FR008M";"Nantes";
"1644435";"1";"1430";;"FR009M";"Lille - Dunkerque - Valenciennes";
"1644436";"1";"1440";;"FR010M";"Montpellier";
"1644437";"1";"1450";;"FR011M";"Saint-Etienne";
"1644438";"1";"1460";;"FR013M";"Rennes";
"1644439";"1";"1470";;"FR014M";"Amiens";
"1644440";"1";"1480";;"FR015M";"Rouen";
"1644441";"1";"1490";;"FR016M";"Nancy";
"1644442";"1";"1500";;"FR017M";"Metz";
"1644443";"1";"1510";;"FR018M";"Reims";
"1644444";"1";"1520";;"FR019M";"Orléans";
"1644445";"1";"1530";;"FR020M";"Dijon";
"1644446";"1";"1540";;"FR021M";"Poitiers";
"1644447";"1";"1550";;"FR022M";"Clermont-Ferrand";
"1644448";"1";"1560";;"FR023M";"Caen";
"1644449";"1";"1570";;"FR024M";"Limoges";
"1644450";"1";"1580";;"FR025M";"Besançon";
"1644451";"1";"1590";;"FR026M";"Grenoble";
"1644452";"1";"1600";;"FR032M";"Toulon";
"1644453";"1";"1610";;"FR035M";"Tours";
"1644454";"1";"1620";;"FR036M";"Angers";
"1644455";"1";"1630";;"FR037M";"Brest";
"1644456";"1";"1640";;"FR038M";"Le Mans";
"1644457";"1";"1650";;"FR039M";"Avignon";
"1644458";"1";"1660";;"FR040M";"Mulhouse";
"1644459";"1";"1670";;"FR043M";"Perpignan";
"1644460";"1";"1680";;"FR044M";"Nimes";
"1644461";"1";"1690";;"FR045M";"Pau";
"1644462";"1";"1700";;"FR048M";"Annecy (FR) / Genève (CH)";
"1644463";"1";"1710";;"FR203M";"Marseille";
"1644464";"1";"1720";;"FR203M_10";"Marseille (NUTS 2010)";
"1644465";"1";"1730";;"FR205M";"Nice";
"1644466";"1";"1740";;"FR207M";"Lens - Liévin";
"1644467";"1";"1750";;"FR_NM";"Non-metropolitan regions in France";
"1644468";"1";"1760";;"HR001MC";"Zagreb";
"1644469";"1";"1770";;"HR001MC_10";"Zagreb (NUTS 2010)";
"1644470";"1";"1780";;"HR005M";"Split";
"1644471";"1";"1790";;"HR_NM";"Non-metropolitan regions in Croatia";
"1644472";"1";"1800";;"IT001MC";"Roma";
"1644473";"1";"1810";;"IT002M";"Milano";
"1644474";"1";"1820";;"IT003M";"Napoli";
"1644475";"1";"1830";;"IT004M";"Torino";
"1644476";"1";"1840";;"IT005M";"Palermo";
"1644477";"1";"1850";;"IT006M";"Genova";
"1644478";"1";"1860";;"IT007M";"Firenze";
"1644479";"1";"1870";;"IT008M";"Bari";
"1644480";"1";"1880";;"IT009M";"Bologna";
"1644481";"1";"1890";;"IT010M";"Catania";
"1644482";"1";"1900";;"IT011M";"Venezia";
"1644483";"1";"1910";;"IT012M";"Verona";
"1644484";"1";"1920";;"IT019M";"Pescara";
"1644485";"1";"1930";;"IT021M";"Caserta";
"1644486";"1";"1940";;"IT022M";"Taranto";
"1644487";"1";"1950";;"IT027M";"Cagliari";
"1644488";"1";"1960";;"IT028M";"Padova";
"1644489";"1";"1970";;"IT029M";"Brescia";
"1644490";"1";"1980";;"IT030M";"Modena";
"1644491";"1";"1990";;"IT032M";"Salerno";
"1644492";"1";"2000";;"IT501M";"Messina";
"1644493";"1";"2010";;"IT502M";"Prato";
"1644494";"1";"2020";;"IT503M";"Parma";
"1644495";"1";"2030";;"IT505M";"Reggio nell Emilia";
"1644496";"1";"2040";;"IT511M";"Bergamo";
"1644497";"1";"2050";;"IT513M";"Latina";
"1644498";"1";"2060";;"IT514M";"Vicenza";
"1644499";"1";"2070";;"IT_NM";"Non-metropolitan regions in Italy";
"1644500";"1";"2080";;"CY001MC";"Lefkosia";
"1644501";"1";"2090";;"CY_NM";"Non-metropolitan regions in Cyprus";
"1644502";"1";"2100";;"LV001MC";"Riga";
"1644503";"1";"2110";;"LV_NM";"Non-metropolitan regions in Latvia";
"1644504";"1";"2120";;"LT001MC";"Vilnius";
"1644505";"1";"2130";;"LT002M";"Kaunas";
"1644506";"1";"2140";;"LT_NM";"Non-metropolitan regions in Lithuania";
"1644507";"1";"2150";;"LU001MC";"Luxembourg";
"1644508";"1";"2160";;"LU_NM";"Non-metropolitan regions in Luxembourg";
"1644509";"1";"2170";;"HU001MC";"Budapest";
"1644510";"1";"2180";;"HU002M";"Miskolc";
"1644511";"1";"2190";;"HU004M";"Pécs";
"1644512";"1";"2200";;"HU005M";"Debrecen";
